Price,Close,High,Low,Open,Volume
Ticker,AWH,AWH,AWH,AWH,AWH
Date,,,,,
2017-01-16,19.649999618530273,19.799999237060547,18.600000381469727,18.600000381469727,3999
2017-01-23,18.299999237060547,19.799999237060547,17.700000762939453,19.200000762939453,11605
2017-01-30,19.049999237060547,20.100000381469727,17.399999618530273,17.850000381469727,6320
2017-02-06,21.0,21.0,18.75,19.5,17800
2017-02-13,26.25,28.350000381469727,20.25,20.700000762939453,73293
2017-02-20,31.5,39.900001525878906,28.350000381469727,28.350000381469727,198127
2017-02-27,39.0,42.75,31.049999237060547,32.25,176166
2017-03-06,36.0,39.75,33.29999923706055,38.25,61048
2017-03-13,34.95000076293945,36.900001525878906,30.600000381469727,35.70000076293945,41500
2017-03-20,32.099998474121094,35.25,30.450000762939453,35.099998474121094,25214
2017-03-27,31.350000381469727,36.45000076293945,30.149999618530273,30.600000381469727,42873
2017-04-03,28.799999237060547,33.29999923706055,25.799999237060547,31.950000762939453,24287
2017-04-10,27.600000381469727,29.100000381469727,26.850000381469727,29.100000381469727,14433
2017-04-17,27.899999618530273,30.0,26.549999237060547,27.899999618530273,18367
2017-04-24,28.350000381469727,31.350000381469727,26.700000762939453,28.200000762939453,10660
2017-05-01,28.799999237060547,29.549999237060547,26.549999237060547,28.649999618530273,25019
2017-05-08,28.950000762939453,29.549999237060547,23.850000381469727,28.049999237060547,26414
2017-05-15,26.700000762939453,28.350000381469727,24.299999237060547,27.899999618530273,10887
2017-05-22,28.350000381469727,28.799999237060547,25.350000381469727,26.700000762939453,13487
2017-05-29,25.950000762939453,28.5,23.25,26.700000762939453,11720
2017-06-05,24.149999618530273,25.950000762939453,22.799999237060547,25.950000762939453,10240
2017-06-12,25.649999618530273,28.350000381469727,23.700000762939453,23.700000762939453,21174
2017-06-19,28.950000762939453,29.700000762939453,25.649999618530273,26.700000762939453,16780
2017-06-26,27.600000381469727,30.0,26.399999618530273,28.649999618530273,7428
2017-07-03,28.5,28.5,26.700000762939453,28.200000762939453,2800
2017-07-10,23.700000762939453,28.799999237060547,23.700000762939453,27.899999618530273,17320
2017-07-17,23.850000381469727,26.25,22.5,24.0,32741
2017-07-24,24.0,25.200000762939453,22.799999237060547,24.0,7967
2017-07-31,21.149999618530273,23.850000381469727,20.549999237060547,23.549999237060547,13547
2017-08-07,19.799999237060547,22.200000762939453,15.449999809265137,21.450000762939453,15112
2017-08-14,18.0,20.549999237060547,16.049999237060547,18.600000381469727,11333
2017-08-21,20.549999237060547,20.700000762939453,17.549999237060547,17.850000381469727,9153
2017-08-28,19.799999237060547,20.850000381469727,18.0,20.25,11240
2017-09-04,20.399999618530273,21.450000762939453,19.200000762939453,19.5,16599
2017-09-11,19.950000762939453,21.0,19.5,20.25,9334
2017-09-18,19.350000381469727,20.25,18.0,19.799999237060547,8200
2017-09-25,27.0,28.049999237060547,19.5,19.5,63587
2017-10-02,24.600000381469727,28.350000381469727,22.950000762939453,27.0,18014
2017-10-09,23.700000762939453,27.0,22.950000762939453,24.600000381469727,12233
2017-10-16,22.350000381469727,24.149999618530273,19.5,24.0,12120
2017-10-23,20.549999237060547,23.100000381469727,19.049999237060547,22.200000762939453,15206
2017-10-30,26.100000381469727,29.549999237060547,19.200000762939453,20.25,99654
2017-11-06,22.950000762939453,26.850000381469727,21.899999618530273,26.399999618530273,24872
2017-11-13,20.850000381469727,24.75,20.100000381469727,23.100000381469727,28040
2017-11-20,26.850000381469727,28.049999237060547,20.850000381469727,23.25,54626
2017-11-27,26.549999237060547,28.350000381469727,24.600000381469727,26.700000762939453,31153
2017-12-04,27.149999618530273,27.75,24.75,26.850000381469727,20294
2017-12-11,30.600000381469727,31.5,26.549999237060547,27.0,28839
2017-12-18,28.950000762939453,31.5,28.649999618530273,30.75,19860
2017-12-25,28.950000762939453,29.399999618530273,25.799999237060547,28.649999618530273,18067
2018-01-01,27.75,29.100000381469727,25.799999237060547,29.100000381469727,12267
2018-01-08,24.75,29.850000381469727,22.799999237060547,27.75,37394
2018-01-15,25.049999237060547,27.899999618530273,24.0,24.75,13274
2018-01-22,24.899999618530273,26.100000381469727,22.799999237060547,24.899999618530273,17247
2018-01-29,21.75,24.75,20.700000762939453,24.75,34799
2018-02-05,22.799999237060547,24.0,20.700000762939453,21.75,39846
2018-02-12,22.049999237060547,24.299999237060547,21.0,22.950000762939453,24200
2018-02-19,20.25,22.200000762939453,19.350000381469727,22.049999237060547,9613
2018-02-26,23.100000381469727,23.700000762939453,19.799999237060547,20.100000381469727,10659
2018-03-05,21.600000381469727,23.850000381469727,20.100000381469727,22.950000762939453,31380
2018-03-12,20.850000381469727,22.049999237060547,19.950000762939453,21.600000381469727,13586
2018-03-19,21.600000381469727,21.75,20.399999618530273,20.850000381469727,6867
2018-03-26,20.399999618530273,21.75,19.200000762939453,21.600000381469727,15213
2018-04-02,18.0,20.549999237060547,17.549999237060547,20.549999237060547,15301
2018-04-09,16.649999618530273,20.549999237060547,13.199999809265137,18.0,82187
2018-04-16,18.450000762939453,18.600000381469727,16.200000762939453,16.5,36166
2018-04-23,20.100000381469727,21.299999237060547,17.850000381469727,18.75,64560
2018-04-30,19.5,20.700000762939453,18.600000381469727,20.25,22173
2018-05-07,19.200000762939453,20.25,18.0,19.5,10700
2018-05-14,16.049999237060547,19.350000381469727,15.449999809265137,19.049999237060547,26726
2018-05-21,14.850000381469727,16.950000762939453,14.699999809265137,16.049999237060547,16340
2018-05-28,16.200000762939453,16.200000762939453,14.699999809265137,14.699999809265137,10527
2018-06-04,15.449999809265137,16.5,14.25,16.5,25746
2018-06-11,15.149999618530273,15.600000381469727,13.649999618530273,15.600000381469727,32740
2018-06-18,12.0,15.449999809265137,12.0,15.300000190734863,48847
2018-06-25,11.699999809265137,15.0,11.550000190734863,12.449999809265137,47347
2018-07-02,11.699999809265137,13.800000190734863,10.949999809265137,11.699999809265137,30847
2018-07-09,9.300000190734863,12.300000190734863,9.149999618530273,11.699999809265137,87173
2018-07-16,9.75,11.850000381469727,8.25,9.75,173727
2018-07-23,8.850000381469727,10.800000190734863,8.699999809265137,10.199999809265137,76006
2018-07-30,9.449999809265137,10.5,8.100000381469727,8.850000381469727,142667
2018-08-06,8.25,10.350000381469727,7.800000190734863,10.350000381469727,33627
2018-08-13,8.100000381469727,8.550000190734863,7.050000190734863,8.550000190734863,62746
2018-08-20,9.300000190734863,9.75,7.650000095367432,7.800000190734863,49107
2018-08-27,9.449999809265137,10.800000190734863,9.149999618530273,9.300000190734863,109139
2018-09-03,9.0,10.050000190734863,8.550000190734863,9.600000381469727,39394
2018-09-10,8.100000381469727,8.850000381469727,7.650000095367432,8.850000381469727,42640
2018-09-17,10.649999618530273,10.649999618530273,8.25,8.399999618530273,33160
2018-09-24,10.649999618530273,11.550000190734863,10.199999809265137,11.399999618530273,35932
2018-10-01,10.199999809265137,11.25,9.75,11.25,22413
2018-10-08,9.0,10.199999809265137,8.550000190734863,10.050000190734863,24073
2018-10-15,7.199999809265137,9.600000381469727,7.199999809265137,9.0,39253
2018-10-22,7.349999904632568,8.25,6.75,7.5,23360
2018-10-29,7.050000190734863,8.699999809265137,6.900000095367432,7.800000190734863,18780
2018-11-05,8.550000190734863,9.0,7.050000190734863,7.650000095367432,44487
2018-11-12,7.5,8.399999618530273,6.900000095367432,7.650000095367432,29413
2018-11-19,7.650000095367432,7.949999809265137,6.900000095367432,7.5,6080
2018-11-26,8.100000381469727,8.550000190734863,7.5,7.5,85487
2018-12-03,7.800000190734863,9.149999618530273,7.5,8.25,32181
2018-12-10,7.050000190734863,8.699999809265137,6.75,7.949999809265137,19846
2018-12-17,5.550000190734863,7.5,4.949999809265137,6.900000095367432,57167
2018-12-24,4.650000095367432,5.550000190734863,4.050000190734863,5.550000190734863,70893
2018-12-31,6.0,6.300000190734863,4.199999809265137,4.5,53053
2019-01-07,8.550000190734863,9.600000381469727,6.0,6.150000095367432,41920
2019-01-14,11.850000381469727,13.199999809265137,8.25,9.600000381469727,141627
2019-01-21,10.649999618530273,12.449999809265137,10.199999809265137,12.449999809265137,13720
