Price,Close,High,Low,Open,Volume
Ticker,BODI,BODI,BODI,BODI,BODI
Date,,,,,
2023-01-16,30.399999618530273,35.04999923706055,28.600000381469727,33.849998474121094,24798
2023-01-23,31.149999618530273,32.400001525878906,27.75,30.350000381469727,36074
2023-01-30,34.099998474121094,37.29999923706055,30.0,31.799999237060547,50896
2023-02-06,29.549999237060547,35.79999923706055,27.649999618530273,33.5,53176
2023-02-13,34.54999923706055,36.0,28.950000762939453,28.950000762939453,37612
2023-02-20,32.0,34.0,31.0,32.95000076293945,25638
2023-02-27,35.20000076293945,36.45000076293945,31.299999237060547,33.150001525878906,78992
2023-03-06,36.5,44.5,34.349998474121094,36.0,56226
2023-03-13,25.100000381469727,38.0,25.0,35.75,54286
2023-03-20,23.350000381469727,27.350000381469727,21.0,25.600000381469727,53948
2023-03-27,24.100000381469727,27.399999618530273,23.25,23.350000381469727,29066
2023-04-03,26.0,26.649999618530273,22.549999237060547,24.399999618530273,20208
2023-04-10,22.600000381469727,26.0,22.0,26.0,36504
2023-04-17,21.600000381469727,24.5,21.149999618530273,22.5,47166
2023-04-24,23.350000381469727,25.5,21.899999618530273,22.5,29866
2023-05-01,22.5,24.5,21.5,23.5,29668
2023-05-08,22.600000381469727,24.5,21.950000762939453,21.950000762939453,31222
2023-05-15,22.799999237060547,23.149999618530273,20.850000381469727,22.399999618530273,34432
2023-05-22,22.0,23.350000381469727,20.5,22.5,39494
2023-05-29,24.0,24.5,22.0,22.25,36394
2023-06-05,23.149999618530273,24.5,21.100000381469727,23.350000381469727,59434
2023-06-12,26.350000381469727,27.75,20.950000762939453,22.5,131258
2023-06-19,22.799999237060547,28.5,22.700000762939453,25.299999237060547,301350
2023-06-26,20.950000762939453,23.0,20.25,22.799999237060547,84644
2023-07-03,20.75,21.75,16.0,20.5,85454
2023-07-10,21.0,23.0,19.049999237060547,20.75,55620
2023-07-17,24.5,25.950000762939453,20.25,23.0,55920
2023-07-24,23.5,25.5,22.299999237060547,25.5,23204
2023-07-31,23.549999237060547,24.75,23.0,23.700000762939453,23658
2023-08-07,19.200000762939453,27.5,18.5,23.549999237060547,54344
2023-08-14,18.25,20.700000762939453,17.049999237060547,20.100000381469727,29054
2023-08-21,22.399999618530273,26.049999237060547,16.5,18.850000381469727,79396
2023-08-28,22.0,23.25,19.950000762939453,21.75,15422
2023-09-04,19.5,23.0,19.049999237060547,21.049999237060547,17482
2023-09-11,16.75,20.0,16.75,20.0,29568
2023-09-18,16.149999618530273,19.0,15.199999809265137,17.25,35412
2023-09-25,14.75,16.5,14.0,15.649999618530273,33578
2023-10-02,18.350000381469727,20.0,14.399999618530273,20.0,41868
2023-10-09,15.0,18.899999618530273,14.550000190734863,18.899999618530273,21294
2023-10-16,12.199999809265137,16.25,11.800000190734863,15.0,39316
2023-10-23,9.75,12.100000381469727,9.5,12.0,44054
2023-10-30,10.25,11.25,8.800000190734863,8.800000190734863,24232
2023-11-06,8.149999618530273,11.699999809265137,7.650000095367432,10.899999618530273,64332
2023-11-13,7.75,8.899999618530273,6.5,8.0,121814
2023-11-20,8.079999923706055,10.739999771118164,6.309999942779541,8.0,565842
2023-11-27,7.420000076293945,12.404000282287598,6.760000228881836,8.079999923706055,530200
2023-12-04,11.239999771118164,11.989999771118164,7.099999904632568,7.170000076293945,236300
2023-12-11,9.149999618530273,10.579999923706055,8.449999809265137,10.579999923706055,199600
2023-12-18,8.529999732971191,9.649999618530273,8.359999656677246,9.050000190734863,130700
2023-12-25,8.289999961853027,9.239999771118164,8.0,8.369999885559082,123800
